"","author","title","words","kind","total","appearance"
"218","Eliot, George","Adam Bede","Stoniton","location",0.454545454545455,33
"219","Eliot, George","Adam Bede","StratfordonAvon","location",-0.5,2
"220","Eliot, George","Adam Bede","Taft","person",-1.36363636363636,11
"221","Eliot, George","Adam Bede","Taylor","person",28,1
"222","Eliot, George","Adam Bede","Thomas","person",2,2
"223","Eliot, George","Adam Bede","Timothy","person",5,5
"224","Eliot, George","Adam Bede","Todd","person",4,4
"225","Eliot, George","Adam Bede","Tom Hazelow","person",6,1
"226","Eliot, George","Adam Bede","Tom Is","person",-1,1
"227","Eliot, George","Adam Bede","Tom Saft","person",-1.66666666666667,3
"228","Eliot, George","Adam Bede","Tom Saftthe","person",-6,1
"229","Eliot, George","Adam Bede","Tom Tholer","person",0,1
"230","Eliot, George","Adam Bede","Tommy","person",2.55,20
"231","Eliot, George","Adam Bede","Totty","location",1.95833333333333,72
"232","Eliot, George","Adam Bede","Totty","person",1.95833333333333,72
"233","Eliot, George","Adam Bede","Treddles","location",3.76086956521739,46
"234","Eliot, George","Adam Bede","Treddleston","location",4,29
"235","Eliot, George","Adam Bede","Tucker","person",2,1
"236","Eliot, George","Adam Bede","Turkey","location",4.33333333333333,3
"237","Eliot, George","Adam Bede","Valentine","person",28,1
"238","Eliot, George","Adam Bede","Wakefield","location",0,1
"239","Eliot, George","Adam Bede","Wesley","person",6.81818181818182,11
"240","Eliot, George","Adam Bede","Will Baker","person",0,2
"241","Eliot, George","Adam Bede","Will Maskery","person",4.28571428571429,14
"242","Eliot, George","Adam Bede","Willow Brook","location",-0.5,8
"243","Eliot, George","Adam Bede","Windsor","location",1.5,18
"244","Eliot, George","Adam Bede","Wiry Ben","person",5.06666666666667,15
"245","Eliot, George","Adam Bede","Wright","person",3,4
"246","Eliot, George","Adam Bede","York","location",2,2
"247","Eliot, George","Adam Bede",NA,NA,0.165730337078652,2492
"248","Eliot, George","Daniel Deronda","Abbott","person",5,1
"249","Eliot, George","Daniel Deronda","Abraham","person",-1,2
"250","Eliot, George","Daniel Deronda","Adam","person",8.86666666666667,15
"251","Eliot, George","Daniel Deronda","Adelaide Rebekah","person",2.42857142857143,7
"252","Eliot, George","Daniel Deronda","Alexander","person",5.66666666666667,3
"253","Eliot, George","Daniel Deronda","Alfonso","person",6,1
"254","Eliot, George","Daniel Deronda","Alice","person",4.1,10
"255","Eliot, George","Daniel Deronda","America","location",1.4,5
"256","Eliot, George","Daniel Deronda","Amy","person",2.72,25
"257","Eliot, George","Daniel Deronda","Andrea","person",0,1
"258","Eliot, George","Daniel Deronda","Anna Gascoigne","person",2.82795698924731,93
"259","Eliot, George","Daniel Deronda","Anne","person",2.57281553398058,103
"260","Eliot, George","Daniel Deronda","Arrowpoint","person",3.31132075471698,106
"261","Eliot, George","Daniel Deronda","Asia","location",10.25,4
"262","Eliot, George","Daniel Deronda","Aspern","person",0,1
"263","Eliot, George","Daniel Deronda","Athens","location",-2,1
"264","Eliot, George","Daniel Deronda","Austria","location",5.33333333333333,3
"265","Eliot, George","Daniel Deronda","Baden","location",3,4
"266","Eliot, George","Daniel Deronda","Baker","person",5,1
"267","Eliot, George","Daniel Deronda","Baltic","location",0,1
