"","author","title","words","kind","total","appearance"
"281","Eliot, George","Middlemarch","Pluto","person",30,1
"282","Eliot, George","Middlemarch","Prague","location",1.55555555555556,18
"283","Eliot, George","Middlemarch","Pratt","person",3.25,8
"284","Eliot, George","Middlemarch","Prince","location",3.83333333333333,6
"285","Eliot, George","Middlemarch","Prior","person",4,2
"286","Eliot, George","Middlemarch","Providence","location",3.25,20
"287","Eliot, George","Middlemarch","Pug","person",1,7
"288","Eliot, George","Middlemarch","Queens","location",2,1
"289","Eliot, George","Middlemarch","Raffles","person",-0.543478260869565,138
"290","Eliot, George","Middlemarch","Rector","location",3.01818181818182,55
"291","Eliot, George","Middlemarch","Robert","person",1.5,2
"292","Eliot, George","Middlemarch","Robert Brown","person",0,1
"293","Eliot, George","Middlemarch","Rome","location",3.26829268292683,41
"294","Eliot, George","Middlemarch","Rosamond Vincy","person",1.66961651917404,678
"295","Eliot, George","Middlemarch","Rose","person",1.42105263157895,57
"296","Eliot, George","Middlemarch","Rosy","person",2.57894736842105,38
"297","Eliot, George","Middlemarch","Saint Bonaventure","person",1,1
"298","Eliot, George","Middlemarch","Saint Catherine","person",15,1
"299","Eliot, George","Middlemarch","Saint Martin","person",1,2
"300","Eliot, George","Middlemarch","Saint Theresa","person",3,3
"301","Eliot, George","Middlemarch","Saint Thomas Aquinas","person",22,2
"302","Eliot, George","Middlemarch","Sally","person",6,1
"303","Eliot, George","Middlemarch","Salt","location",-1,1
"304","Eliot, George","Middlemarch","Samuel","person",-6,1
"305","Eliot, George","Middlemarch","San","location",2.33014354066986,209
"306","Eliot, George","Middlemarch","Santa Barbara","location",12,1
"307","Eliot, George","Middlemarch","Santa Clara","location",-3.66666666666667,3
"308","Eliot, George","Middlemarch","Santa Lucia","location",-8,1
"309","Eliot, George","Middlemarch","Sara","person",1.66666666666667,6
"310","Eliot, George","Middlemarch","Sarah","person",6,2
"311","Eliot, George","Middlemarch","Sarah Dunkirk","person",-3,2
"312","Eliot, George","Middlemarch","Saul","person",-2,1
"313","Eliot, George","Middlemarch","Scales","person",4.5,4
"314","Eliot, George","Middlemarch","Scorn","person",-1.18181818181818,22
"315","Eliot, George","Middlemarch","Scotland","location",-6,1
"316","Eliot, George","Middlemarch","Scott","person",11,4
"317","Eliot, George","Middlemarch","Selina","person",0.5,4
"318","Eliot, George","Middlemarch","Shakespeare","person",-1,1
"319","Eliot, George","Middlemarch","Shelley","person",4.5,2
"320","Eliot, George","Middlemarch","Sir James","person",3.08016877637131,237
"321","Eliot, George","Middlemarch","Sister Martha","person",4,7
"322","Eliot, George","Middlemarch","Solomon","location",2.76,50
"323","Eliot, George","Middlemarch","Solomon","person",2.76,50
"324","Eliot, George","Middlemarch","Solomon Featherstone","person",-1,3
"325","Eliot, George","Middlemarch","South","location",0.444444444444444,9
"326","Eliot, George","Middlemarch","Stanley","person",-2,1
"327","Eliot, George","Middlemarch","Stone Court","location",-0.153846153846154,65
"328","Eliot, George","Middlemarch","Susan Garth","person",2.42105263157895,19
"329","Eliot, George","Middlemarch","Taft","person",2.8,5
"330","Eliot, George","Middlemarch","Taylor","person",3,1
"331","Eliot, George","Middlemarch","Tertius Lydgate","person",1.45803357314149,834
"332","Eliot, George","Middlemarch","Thomas","person",14.4,5
"333","Eliot, George","Middlemarch","Thomas Aquainas","person",2,1
"334","Eliot, George","Middlemarch","Thomas Aquinas","person",21.3333333333333,3
"335","Eliot, George","Middlemarch","Thomas Browne","person",6,1
"336","Eliot, George","Middlemarch","Timothy","person",2,3
"337","Eliot, George","Middlemarch","Timothy Cooper","person",3,1
"338","Eliot, George","Middlemarch","Todd","person",1.66666666666667,3
"339","Eliot, George","Middlemarch","Truberry","person",6,2
"340","Eliot, George","Middlemarch","Tucker","person",3.22222222222222,9
"341","Eliot, George","Middlemarch","Turkey","location",2,1
"342","Eliot, George","Middlemarch","Venetian","person",15,1
"343","Eliot, George","Middlemarch","Vienna","location",2,1
"344","Eliot, George","Middlemarch","Wakefield","location",2,1
"345","Eliot, George","Middlemarch","Walter","person",6.85714285714286,7
"346","Eliot, George","Middlemarch","Walter Scott","person",14.6666666666667,3
"347","Eliot, George","Middlemarch","Walter Tyke","person",0,1
"348","Eliot, George","Middlemarch","Warren Hastings","person",4,1
"349","Eliot, George","Middlemarch","Waterloo","location",8,1
"350","Eliot, George","Middlemarch","Wellington","location",12,4
"351","Eliot, George","Middlemarch","Whig","person",4.11111111111111,9
"352","Eliot, George","Middlemarch","Whiggish","person",7,2
"353","Eliot, George","Middlemarch","White Hart","location",24,1
"354","Eliot, George","Middlemarch","Will Ladislaw","person",1.2198275862069,232
"355","Eliot, George","Middlemarch","Will LadislawI","person",-3,1
"356","Eliot, George","Middlemarch","William","person",1,1
"357","Eliot, George","Middlemarch","Willoughby","person",1,1
"358","Eliot, George","Middlemarch","Windsor","location",45,1
"359","Eliot, George","Middlemarch","Winifred","person",7.71428571428571,7
"360","Eliot, George","Middlemarch","Winifred Farebrother","person",36,1
"361","Eliot, George","Middlemarch","Wordsworth","person",3,1
"362","Eliot, George","Middlemarch","Wright","person",3,1
"363","Eliot, George","Middlemarch","Yap","person",12,2
"364","Eliot, George","Middlemarch","York","location",5.2,5
"365","Eliot, George","Middlemarch","Yorkshire","location",6,1
"366","Eliot, George","Middlemarch",NA,NA,0.374224343675418,4190
