"","author","title","sentence_nr","words","kind","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","sentiment"
"14097","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9303,"Ellinor","location",0,0,0,4,0,4,4,4,0,4,0
"14098","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9303,"Mr Dunster","person",0,0,0,4,0,4,4,4,0,4,0
"14099","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9304,NA,NA,0,0,0,0,0,0,0,0,0,1,0
"14100","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9306,"God","location",0,1,1,1,1,1,2,1,0,1,1
"14101","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9308,"Don","person",0,0,0,0,0,0,3,0,0,0,3
"14102","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9308,"Dear","person",0,0,0,0,0,0,3,0,0,0,3
"14103","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9308,"King","person",0,0,0,0,0,0,3,0,0,0,3
"14104","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9309,NA,NA,0,0,0,0,0,0,3,0,1,0,3
"14105","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9310,"Ford Bank","location",0,0,0,0,0,0,0,0,0,1,0
"14106","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9312,"Ellinor","person",0,0,0,0,0,2,0,2,2,0,-2
"14107","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9312,"Ellinor","location",0,0,0,0,0,2,0,2,2,0,-2
"14108","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9313,"Mr Ness","person",0,0,0,0,0,1,0,1,1,0,-1
"14109","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9314,"Dear","person",0,6,0,0,3,3,6,3,3,0,3
"14110","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9314,"Corbet","person",0,6,0,0,3,3,6,3,3,0,3
"14111","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9314,"Hall","person",0,6,0,0,3,3,6,3,3,0,3
"14112","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9315,NA,NA,0,1,0,0,2,0,4,0,0,2,4
"14113","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9316,"Ellinor","person",0,0,0,0,0,0,3,0,0,3,3
"14114","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9316,"Ellinor","location",0,0,0,0,0,0,3,0,0,3,3
"14115","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9316,"Mr Osbaldistone","person",0,0,0,0,0,0,3,0,0,3,3
"14116","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9317,"Dear","person",0,0,0,0,0,0,1,0,0,0,1
"14117","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9318,"John","person",0,0,0,0,0,7,14,0,0,21,7
"14118","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9318,"Ben","person",0,0,0,0,0,7,14,0,0,21,7
"14119","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9318,"Frank","person",0,0,0,0,0,7,14,0,0,21,7
"14120","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9318,"Johnson","person",0,0,0,0,0,7,14,0,0,21,7
"14121","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9318,"Frank Holster","person",0,0,0,0,0,7,14,0,0,21,7
"14122","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9318,"Holster","location",0,0,0,0,0,7,14,0,0,21,7
"14123","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9318,"Mr Johnson","person",0,0,0,0,0,7,14,0,0,21,7
"14124","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9319,"Ellinor","person",0,0,0,2,0,2,0,2,0,0,-2
"14125","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9319,"Ellinor","location",0,0,0,2,0,2,0,2,0,0,-2
"14126","Gaskell, Elizabeth Cleghorn","A Dark Night's Work",9320,NA,NA,0,0,0,0,0,1,0,1,1,0,-1
